year,epi_week,comuna_id,confirmed_cases
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,1
2023,1,5,2
2023,1,6,0
2023,1,7,0
2023,1,8,0
2023,1,9,1
2023,1,10,0
2023,1,11,0
2023,1,12,0
2023,1,13,1
2023,1,14,0
2023,1,15,0
2023,2,1,3
2023,2,2,0
2023,2,3,0
2023,2,4,0
2023,2,5,0
2023,2,6,0
2023,2,7,1
2023,2,8,0
2023,2,9,1
2023,2,10,0
2023,2,11,0
2023,2,12,0
2023,2,13,1
2023,2,14,0
2023,2,15,0
2023,3,1,1
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,1
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0
2023,3,13,0
2023,3,14,0
2023,3,15,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,0
2023,4,7,1
2023,4,8,0
2023,4,9,0
2023,4,10,0
2023,4,11,1
2023,4,12,0
2023,4,13,0
2023,4,14,0
2023,4,15,0
2023,5,1,3
2023,5,2,1
2023,5,3,1
2023,5,4,1
2023,5,5,0
2023,5,6,0
2023,5,7,4
2023,5,8,1
2023,5,9,3
2023,5,10,0
2023,5,11,3
2023,5,12,0
2023,5,13,0
2023,5,14,0
2023,5,15,0
2023,6,1,4
2023,6,2,1
2023,6,3,0
2023,6,4,1
2023,6,5,0
2023,6,6,0
2023,6,7,3
2023,6,8,0
2023,6,9,3
2023,6,10,1
2023,6,11,1
2023,6,12,2
2023,6,13,0
2023,6,14,0
2023,6,15,0
2023,7,1,5
2023,7,2,0
2023,7,3,1
2023,7,4,0
2023,7,5,0
2023,7,6,0
2023,7,7,3
2023,7,8,4
2023,7,9,12
2023,7,10,0
2023,7,11,5
2023,7,12,0
2023,7,13,0
2023,7,14,0
2023,7,15,0
2023,8,1,7
2023,8,2,1
2023,8,3,1
2023,8,4,2
2023,8,5,0
2023,8,6,0
2023,8,7,5
2023,8,8,1
2023,8,9,22
2023,8,10,2
2023,8,11,6
2023,8,12,0
2023,8,13,0
2023,8,14,3
2023,8,15,3
2023,9,1,21
2023,9,2,1
2023,9,3,2
2023,9,4,6
2023,9,5,1
2023,9,6,3
2023,9,7,11
2023,9,8,9
2023,9,9,71
2023,9,10,8
2023,9,11,9
2023,9,12,2
2023,9,13,4
2023,9,14,5
2023,9,15,6
2023,10,1,46
2023,10,2,3
2023,10,3,4
2023,10,4,11
2023,10,5,7
2023,10,6,7
2023,10,7,18
2023,10,8,22
2023,10,9,125
2023,10,10,25
2023,10,11,33
2023,10,12,4
2023,10,13,9
2023,10,14,17
2023,10,15,8
2023,11,1,116
2023,11,2,8
2023,11,3,19
2023,11,4,32
2023,11,5,18
2023,11,6,16
2023,11,7,41
2023,11,8,61
2023,11,9,294
2023,11,10,90
2023,11,11,55
2023,11,12,13
2023,11,13,26
2023,11,14,42
2023,11,15,27
2023,12,1,297
2023,12,2,21
2023,12,3,24
2023,12,4,48
2023,12,5,37
2023,12,6,35
2023,12,7,89
2023,12,8,103
2023,12,9,553
2023,12,10,234
2023,12,11,158
2023,12,12,19
2023,12,13,36
2023,12,14,116
2023,12,15,57
2023,13,1,649
2023,13,2,23
2023,13,3,39
2023,13,4,63
2023,13,5,30
2023,13,6,34
2023,13,7,139
2023,13,8,148
2023,13,9,495
2023,13,10,274
2023,13,11,261
2023,13,12,47
2023,13,13,51
2023,13,14,142
2023,13,15,84
2023,14,1,644
2023,14,2,21
2023,14,3,21
2023,14,4,58
2023,14,5,35
2023,14,6,27
2023,14,7,129
2023,14,8,106
2023,14,9,351
2023,14,10,201
2023,14,11,169
2023,14,12,37
2023,14,13,41
2023,14,14,101
2023,14,15,41
2023,15,1,622
2023,15,2,26
2023,15,3,42
2023,15,4,72
2023,15,5,36
2023,15,6,19
2023,15,7,140
2023,15,8,127
2023,15,9,274
2023,15,10,212
2023,15,11,159
2023,15,12,58
2023,15,13,47
2023,15,14,93
2023,15,15,79
2023,16,1,425
2023,16,2,15
2023,16,3,29
2023,16,4,86
2023,16,5,25
2023,16,6,15
2023,16,7,106
2023,16,8,89
2023,16,9,180
2023,16,10,137
2023,16,11,91
2023,16,12,29
2023,16,13,35
2023,16,14,71
2023,16,15,55
2023,17,1,205
2023,17,2,5
2023,17,3,16
2023,17,4,32
2023,17,5,12
2023,17,6,7
2023,17,7,55
2023,17,8,50
2023,17,9,75
2023,17,10,54
2023,17,11,45
2023,17,12,15
2023,17,13,6
2023,17,14,18
2023,17,15,34
2023,18,1,175
2023,18,2,9
2023,18,3,9
2023,18,4,40
2023,18,5,18
2023,18,6,10
2023,18,7,50
2023,18,8,43
2023,18,9,81
2023,18,10,56
2023,18,11,32
2023,18,12,11
2023,18,13,15
2023,18,14,24
2023,18,15,26
2023,19,1,98
2023,19,2,3
2023,19,3,3
2023,19,4,17
2023,19,5,3
2023,19,6,5
2023,19,7,21
2023,19,8,21
2023,19,9,30
2023,19,10,28
2023,19,11,22
2023,19,12,11
2023,19,13,12
2023,19,14,10
2023,19,15,8
2023,20,1,62
2023,20,2,1
2023,20,3,3
2023,20,4,10
2023,20,5,6
2023,20,6,4
2023,20,7,11
2023,20,8,15
2023,20,9,20
2023,20,10,20
2023,20,11,13
2023,20,12,3
2023,20,13,9
2023,20,14,3
2023,20,15,9
2023,21,1,31
2023,21,2,0
2023,21,3,1
2023,21,4,2
2023,21,5,3
2023,21,6,1
2023,21,7,7
2023,21,8,4
2023,21,9,4
2023,21,10,5
2023,21,11,3
2023,21,12,0
2023,21,13,3
2023,21,14,7
2023,21,15,7
2023,22,1,28
2023,22,2,0
2023,22,3,4
2023,22,4,0
2023,22,5,2
2023,22,6,0
2023,22,7,4
2023,22,8,9
2023,22,9,5
2023,22,10,8
2023,22,11,1
2023,22,12,1
2023,22,13,4
2023,22,14,5
2023,22,15,1
2023,23,1,14
2023,23,2,1
2023,23,3,2
2023,23,4,2
2023,23,5,2
2023,23,6,1
2023,23,7,1
2023,23,8,1
2023,23,9,3
2023,23,10,4
2023,23,11,0
2023,23,12,1
2023,23,13,1
2023,23,14,3
2023,23,15,0
2023,24,1,2
2023,24,2,0
2023,24,3,0
2023,24,4,2
2023,24,5,0
2023,24,6,1
2023,24,7,1
2023,24,8,1
2023,24,9,0
2023,24,10,0
2023,24,11,0
2023,24,12,0
2023,24,13,1
2023,24,14,2
2023,24,15,1
2023,25,1,1
2023,25,2,0
2023,25,3,0
2023,25,4,0
2023,25,5,0
2023,25,6,0
2023,25,7,0
2023,25,8,0
2023,25,9,0
2023,25,10,0
2023,25,11,0
2023,25,12,1
2023,25,13,1
2023,25,14,0
2023,25,15,0
2023,26,1,0
2023,26,2,0
2023,26,3,0
2023,26,4,0
2023,26,5,0
2023,26,6,0
2023,26,7,0
2023,26,8,0
2023,26,9,0
2023,26,10,0
2023,26,11,0
2023,26,12,0
2023,26,13,0
2023,26,14,0
2023,26,15,0
2023,27,1,1
2023,27,2,0
2023,27,3,0
2023,27,4,0
2023,27,5,2
2023,27,6,1
2023,27,7,0
2023,27,8,0
2023,27,9,0
2023,27,10,0
2023,27,11,0
2023,27,12,0
2023,27,13,0
2023,27,14,0
2023,27,15,0
2023,28,1,1
2023,28,2,0
2023,28,3,0
2023,28,4,0
2023,28,5,2
2023,28,6,0
2023,28,7,0
2023,28,8,0
2023,28,9,0
2023,28,10,0
2023,28,11,0
2023,28,12,0
2023,28,13,0
2023,28,14,0
2023,28,15,0
2023,29,1,0
2023,29,2,0
2023,29,3,0
2023,29,4,0
2023,29,5,0
2023,29,6,0
2023,29,7,0
2023,29,8,0
2023,29,9,0
2023,29,10,0
2023,29,11,0
2023,29,12,0
2023,29,13,0
2023,29,14,0
2023,29,15,0
2023,30,1,0
2023,30,2,0
2023,30,3,0
2023,30,4,0
2023,30,5,1
2023,30,6,0
2023,30,7,0
2023,30,8,0
2023,30,9,0
2023,30,10,0
2023,30,11,0
2023,30,12,0
2023,30,13,0
2023,30,14,0
2023,30,15,0
2023,31,1,0
2023,31,2,0
2023,31,3,0
2023,31,4,0
2023,31,5,0
2023,31,6,0
2023,31,7,0
2023,31,8,0
2023,31,9,0
2023,31,10,0
2023,31,11,0
2023,31,12,0
2023,31,13,0
2023,31,14,0
2023,31,15,0
2023,32,1,0
2023,32,2,0
2023,32,3,0
2023,32,4,1
2023,32,5,0
2023,32,6,0
2023,32,7,0
2023,32,8,0
2023,32,9,0
2023,32,10,0
2023,32,11,0
2023,32,12,0
2023,32,13,0
2023,32,14,0
2023,32,15,0
2023,33,1,0
2023,33,2,0
2023,33,3,0
2023,33,4,0
2023,33,5,0
2023,33,6,0
2023,33,7,0
2023,33,8,0
2023,33,9,0
2023,33,10,0
2023,33,11,0
2023,33,12,0
2023,33,13,0
2023,33,14,0
2023,33,15,0
2023,34,1,0
2023,34,2,0
2023,34,3,0
2023,34,4,0
2023,34,5,0
2023,34,6,0
2023,34,7,0
2023,34,8,0
2023,34,9,0
2023,34,10,0
2023,34,11,0
2023,34,12,0
2023,34,13,0
2023,34,14,0
2023,34,15,0
2023,35,1,0
2023,35,2,0
2023,35,3,0
2023,35,4,0
2023,35,5,0
2023,35,6,0
2023,35,7,0
2023,35,8,0
2023,35,9,0
2023,35,10,0
2023,35,11,0
2023,35,12,0
2023,35,13,0
2023,35,14,0
2023,35,15,0
2023,36,1,0
2023,36,2,0
2023,36,3,0
2023,36,4,0
2023,36,5,0
2023,36,6,0
2023,36,7,0
2023,36,8,0
2023,36,9,0
2023,36,10,0
2023,36,11,0
2023,36,12,0
2023,36,13,0
2023,36,14,0
2023,36,15,0
2023,37,1,0
2023,37,2,0
2023,37,3,0
2023,37,4,0
2023,37,5,0
2023,37,6,0
2023,37,7,0
2023,37,8,0
2023,37,9,0
2023,37,10,0
2023,37,11,0
2023,37,12,0
2023,37,13,0
2023,37,14,0
2023,37,15,0
2023,38,1,0
2023,38,2,0
2023,38,3,0
2023,38,4,0
2023,38,5,0
2023,38,6,0
2023,38,7,0
2023,38,8,0
2023,38,9,0
2023,38,10,0
2023,38,11,0
2023,38,12,0
2023,38,13,0
2023,38,14,0
2023,38,15,0
2023,39,1,0
2023,39,2,0
2023,39,3,0
2023,39,4,0
2023,39,5,1
2023,39,6,0
2023,39,7,0
2023,39,8,1
2023,39,9,0
2023,39,10,0
2023,39,11,0
2023,39,12,0
2023,39,13,0
2023,39,14,0
2023,39,15,0
2023,40,1,1
2023,40,2,0
2023,40,3,0
2023,40,4,0
2023,40,5,0
2023,40,6,0
2023,40,7,0
2023,40,8,0
2023,40,9,0
2023,40,10,1
2023,40,11,0
2023,40,12,0
2023,40,13,0
2023,40,14,0
2023,40,15,0
2023,41,1,0
2023,41,2,1
2023,41,3,0
2023,41,4,0
2023,41,5,0
2023,41,6,0
2023,41,7,0
2023,41,8,0
2023,41,9,0
2023,41,10,0
2023,41,11,0
2023,41,12,0
2023,41,13,0
2023,41,14,0
2023,41,15,0
2023,42,1,0
2023,42,2,0
2023,42,3,0
2023,42,4,0
2023,42,5,0
2023,42,6,0
2023,42,7,0
2023,42,8,0
2023,42,9,0
2023,42,10,0
2023,42,11,0
2023,42,12,0
2023,42,13,0
2023,42,14,0
2023,42,15,0
2023,43,1,0
2023,43,2,0
2023,43,3,0
2023,43,4,0
2023,43,5,0
2023,43,6,0
2023,43,7,0
2023,43,8,0
2023,43,9,0
2023,43,10,0
2023,43,11,0
2023,43,12,0
2023,43,13,0
2023,43,14,0
2023,43,15,0
2023,44,1,0
2023,44,2,0
2023,44,3,0
2023,44,4,1
2023,44,5,0
2023,44,6,0
2023,44,7,0
2023,44,8,0
2023,44,9,0
2023,44,10,0
2023,44,11,0
2023,44,12,0
2023,44,13,0
2023,44,14,2
2023,44,15,0
2023,45,1,0
2023,45,2,0
2023,45,3,0
2023,45,4,0
2023,45,5,0
2023,45,6,0
2023,45,7,0
2023,45,8,0
2023,45,9,0
2023,45,10,0
2023,45,11,0
2023,45,12,0
2023,45,13,0
2023,45,14,0
2023,45,15,0
2023,46,1,1
2023,46,2,0
2023,46,3,0
2023,46,4,0
2023,46,5,0
2023,46,6,0
2023,46,7,0
2023,46,8,0
2023,46,9,0
2023,46,10,0
2023,46,11,0
2023,46,12,0
2023,46,13,0
2023,46,14,0
2023,46,15,0
2023,47,1,1
2023,47,2,0
2023,47,3,0
2023,47,4,0
2023,47,5,0
2023,47,6,0
2023,47,7,0
2023,47,8,0
2023,47,9,0
2023,47,10,0
2023,47,11,0
2023,47,12,0
2023,47,13,0
2023,47,14,0
2023,47,15,0
2023,48,1,1
2023,48,2,0
2023,48,3,0
2023,48,4,0
2023,48,5,0
2023,48,6,0
2023,48,7,0
2023,48,8,1
2023,48,9,0
2023,48,10,0
2023,48,11,0
2023,48,12,0
2023,48,13,1
2023,48,14,0
2023,48,15,0
2023,49,1,2
2023,49,2,0
2023,49,3,0
2023,49,4,0
2023,49,5,0
2023,49,6,0
2023,49,7,0
2023,49,8,0
2023,49,9,0
2023,49,10,0
2023,49,11,0
2023,49,12,0
2023,49,13,0
2023,49,14,0
2023,49,15,0
2023,50,1,4
2023,50,2,0
2023,50,3,0
2023,50,4,1
2023,50,5,0
2023,50,6,0
2023,50,7,0
2023,50,8,0
2023,50,9,0
2023,50,10,0
2023,50,11,3
2023,50,12,1
2023,50,13,2
2023,50,14,0
2023,50,15,0
2023,51,1,2
2023,51,2,0
2023,51,3,0
2023,51,4,0
2023,51,5,0
2023,51,6,0
2023,51,7,0
2023,51,8,0
2023,51,9,0
2023,51,10,0
2023,51,11,1
2023,51,12,0
2023,51,13,2
2023,51,14,0
2023,51,15,0
2023,52,1,2
2023,52,2,1
2023,52,3,1
2023,52,4,2
2023,52,5,0
2023,52,6,1
2023,52,7,0
2023,52,8,1
2023,52,9,2
2023,52,10,1
2023,52,11,0
2023,52,12,0
2023,52,13,1
2023,52,14,0
2023,52,15,2
2024,1,1,5
2024,1,2,3
2024,1,3,4
2024,1,4,4
2024,1,5,4
2024,1,6,3
2024,1,7,2
2024,1,8,5
2024,1,9,0
2024,1,10,2
2024,1,11,3
2024,1,12,3
2024,1,13,1
2024,1,14,0
2024,1,15,5
2024,2,1,33
2024,2,2,3
2024,2,3,7
2024,2,4,12
2024,2,5,3
2024,2,6,4
2024,2,7,3
2024,2,8,9
2024,2,9,1
2024,2,10,1
2024,2,11,3
2024,2,12,4
2024,2,13,6
2024,2,14,5
2024,2,15,7
2024,3,1,41
2024,3,2,0
2024,3,3,6
2024,3,4,8
2024,3,5,3
2024,3,6,1
2024,3,7,3
2024,3,8,8
2024,3,9,3
2024,3,10,0
2024,3,11,7
2024,3,12,6
2024,3,13,5
2024,3,14,4
2024,3,15,8
2024,4,1,63
2024,4,2,1
2024,4,3,2
2024,4,4,14
2024,4,5,1
2024,4,6,2
2024,4,7,5
2024,4,8,10
2024,4,9,4
2024,4,10,2
2024,4,11,9
2024,4,12,2
2024,4,13,2
2024,4,14,3
2024,4,15,12
2024,5,1,103
2024,5,2,2
2024,5,3,10
2024,5,4,20
2024,5,5,7
2024,5,6,7
2024,5,7,9
2024,5,8,15
2024,5,9,5
2024,5,10,4
2024,5,11,16
2024,5,12,2
2024,5,13,9
2024,5,14,8
2024,5,15,24
2024,6,1,242
2024,6,2,4
2024,6,3,17
2024,6,4,29
2024,6,5,8
2024,6,6,11
2024,6,7,19
2024,6,8,28
2024,6,9,10
2024,6,10,8
2024,6,11,30
2024,6,12,10
2024,6,13,10
2024,6,14,11
2024,6,15,37
2024,7,1,443
2024,7,2,13
2024,7,3,25
2024,7,4,32
2024,7,5,14
2024,7,6,17
2024,7,7,38
2024,7,8,40
2024,7,9,19
2024,7,10,16
2024,7,11,56
2024,7,12,30
2024,7,13,24
2024,7,14,22
2024,7,15,70
2024,8,1,722
2024,8,2,16
2024,8,3,42
2024,8,4,87
2024,8,5,32
2024,8,6,40
2024,8,7,62
2024,8,8,74
2024,8,9,33
2024,8,10,44
2024,8,11,65
2024,8,12,56
2024,8,13,54
2024,8,14,37
2024,8,15,130
2024,9,1,914
2024,9,2,16
2024,9,3,59
2024,9,4,111
2024,9,5,56
2024,9,6,38
2024,9,7,73
2024,9,8,68
2024,9,9,28
2024,9,10,41
2024,9,11,103
2024,9,12,69
2024,9,13,56
2024,9,14,42
2024,9,15,160
2024,10,1,1029
2024,10,2,22
2024,10,3,78
2024,10,4,147
2024,10,5,77
2024,10,6,74
2024,10,7,75
2024,10,8,86
2024,10,9,35
2024,10,10,48
2024,10,11,110
2024,10,12,109
2024,10,13,94
2024,10,14,50
2024,10,15,195
2024,11,1,1165
2024,11,2,27
2024,11,3,94
2024,11,4,217
2024,11,5,102
2024,11,6,81
2024,11,7,98
2024,11,8,62
2024,11,9,46
2024,11,10,60
2024,11,11,132
2024,11,12,129
2024,11,13,126
2024,11,14,76
2024,11,15,187
2024,12,1,1387
2024,12,2,34
2024,12,3,112
2024,12,4,237
2024,12,5,118
2024,12,6,101
2024,12,7,111
2024,12,8,92
2024,12,9,49
2024,12,10,69
2024,12,11,132
2024,12,12,153
2024,12,13,146
2024,12,14,78
2024,12,15,210
2024,13,1,1391
2024,13,2,48
2024,13,3,120
2024,13,4,236
2024,13,5,107
2024,13,6,103
2024,13,7,108
2024,13,8,106
2024,13,9,45
2024,13,10,60
2024,13,11,122
2024,13,12,118
2024,13,13,110
2024,13,14,67
2024,13,15,153
2024,14,1,1257
2024,14,2,34
2024,14,3,112
2024,14,4,296
2024,14,5,109
2024,14,6,83
2024,14,7,105
2024,14,8,81
2024,14,9,62
2024,14,10,50
2024,14,11,68
2024,14,12,81
2024,14,13,88
2024,14,14,53
2024,14,15,127
2024,15,1,810
2024,15,2,27
2024,15,3,82
2024,15,4,151
2024,15,5,54
2024,15,6,52
2024,15,7,55
2024,15,8,81
2024,15,9,32
2024,15,10,41
2024,15,11,52
2024,15,12,48
2024,15,13,39
2024,15,14,38
2024,15,15,63
2024,16,1,651
2024,16,2,25
2024,16,3,54
2024,16,4,108
2024,16,5,57
2024,16,6,30
2024,16,7,44
2024,16,8,64
2024,16,9,32
2024,16,10,32
2024,16,11,38
2024,16,12,39
2024,16,13,45
2024,16,14,33
2024,16,15,78
2024,17,1,503
2024,17,2,18
2024,17,3,42
2024,17,4,112
2024,17,5,46
2024,17,6,35
2024,17,7,47
2024,17,8,29
2024,17,9,26
2024,17,10,20
2024,17,11,34
2024,17,12,34
2024,17,13,37
2024,17,14,28
2024,17,15,40
2024,18,1,359
2024,18,2,4
2024,18,3,24
2024,18,4,67
2024,18,5,20
2024,18,6,22
2024,18,7,21
2024,18,8,41
2024,18,9,23
2024,18,10,17
2024,18,11,15
2024,18,12,20
2024,18,13,10
2024,18,14,13
2024,18,15,16
2024,19,1,121
2024,19,2,4
2024,19,3,12
2024,19,4,20
2024,19,5,16
2024,19,6,4
2024,19,7,11
2024,19,8,11
2024,19,9,11
2024,19,10,7
2024,19,11,8
2024,19,12,10
2024,19,13,6
2024,19,14,6
2024,19,15,14
2024,20,1,55
2024,20,2,5
2024,20,3,11
2024,20,4,13
2024,20,5,2
2024,20,6,4
2024,20,7,9
2024,20,8,7
2024,20,9,4
2024,20,10,4
2024,20,11,2
2024,20,12,3
2024,20,13,2
2024,20,14,1
2024,20,15,7
2024,21,1,18
2024,21,2,1
2024,21,3,2
2024,21,4,4
2024,21,5,0
2024,21,6,0
2024,21,7,2
2024,21,8,1
2024,21,9,4
2024,21,10,2
2024,21,11,1
2024,21,12,0
2024,21,13,1
2024,21,14,2
2024,21,15,1
2024,22,1,7
2024,22,2,1
2024,22,3,2
2024,22,4,0
2024,22,5,0
2024,22,6,0
2024,22,7,0
2024,22,8,0
2024,22,9,1
2024,22,10,0
2024,22,11,0
2024,22,12,0
2024,22,13,0
2024,22,14,0
2024,22,15,0
2024,23,1,3
2024,23,2,0
2024,23,3,0
2024,23,4,0
2024,23,5,0
2024,23,6,1
2024,23,7,0
2024,23,8,0
2024,23,9,0
2024,23,10,0
2024,23,11,0
2024,23,12,1
2024,23,13,0
2024,23,14,0
2024,23,15,0
2024,24,1,0
2024,24,2,1
2024,24,3,0
2024,24,4,0
2024,24,5,0
2024,24,6,0
2024,24,7,0
2024,24,8,1
2024,24,9,0
2024,24,10,0
2024,24,11,0
2024,24,12,0
2024,24,13,0
2024,24,14,0
2024,24,15,0
2024,25,1,0
2024,25,2,0
2024,25,3,0
2024,25,4,0
2024,25,5,0
2024,25,6,0
2024,25,7,0
2024,25,8,0
2024,25,9,0
2024,25,10,0
2024,25,11,0
2024,25,12,0
2024,25,13,0
2024,25,14,0
2024,25,15,0
