Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
Persistencia,Train,0,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
Random Forest,Train,0,1,C1 Puerto Madero,22.53,64.88,0.85,48,72.31,649.0
XGBoost,Train,0,1,C1 Puerto Madero,3.51,11.07,0.996,48,72.31,649.0
LSTM+aug,Train,0,1,C1 Puerto Madero,131.28,179.99,-0.02,40,74.3,649.0
Persistencia,Train,0,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
Random Forest,Train,0,2,C2 Recoleta,1.14,2.44,0.863,48,2.96,26.0
XGBoost,Train,0,2,C2 Recoleta,0.22,0.48,0.995,48,2.96,26.0
LSTM+aug,Train,0,2,C2 Recoleta,96.75,96.97,-219.069,40,2.65,26.0
Persistencia,Train,0,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
Random Forest,Train,0,3,C3 Balvanera,1.38,2.84,0.92,48,4.62,42.0
XGBoost,Train,0,3,C3 Balvanera,0.42,0.98,0.991,48,4.62,42.0
LSTM+aug,Train,0,3,C3 Balvanera,95.15,95.7,-85.782,40,4.25,42.0
Persistencia,Train,0,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
Random Forest,Train,0,4,C4 La Boca,2.1,5.3,0.937,48,10.21,86.0
XGBoost,Train,0,4,C4 La Boca,0.66,1.82,0.993,48,10.21,86.0
LSTM+aug,Train,0,4,C4 La Boca,89.67,92.31,-16.786,40,9.73,86.0
Persistencia,Train,0,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
Random Forest,Train,0,5,C5 Almagro,1.05,2.29,0.951,48,5.02,37.0
XGBoost,Train,0,5,C5 Almagro,0.33,0.59,0.997,48,5.02,37.0
LSTM+aug,Train,0,5,C5 Almagro,94.95,95.45,-95.05,40,4.45,36.0
Persistencia,Train,0,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
Random Forest,Train,0,6,C6 Caballito,0.91,2.35,0.924,48,3.9,35.0
XGBoost,Train,0,6,C6 Caballito,0.28,0.71,0.993,48,3.9,35.0
LSTM+aug,Train,0,6,C6 Caballito,96.25,96.54,-163.303,40,3.15,34.0
Persistencia,Train,0,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
Random Forest,Train,0,7,C7 Flores,1.82,4.77,0.984,48,17.46,140.0
XGBoost,Train,0,7,C7 Flores,0.62,1.63,0.998,48,17.46,140.0
LSTM+aug,Train,0,7,C7 Flores,88.62,91.67,-4.428,40,16.6,140.0
Persistencia,Train,0,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
Random Forest,Train,0,8,C8 Lugano,2.84,6.3,0.97,48,17.04,148.0
XGBoost,Train,0,8,C8 Lugano,0.8,2.34,0.996,48,17.04,148.0
LSTM+aug,Train,0,8,C8 Lugano,88.11,91.49,-5.343,40,15.43,148.0
Persistencia,Train,0,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
Random Forest,Train,0,9,C9 Liniers,15.35,37.98,0.909,48,54.23,553.0
XGBoost,Train,0,9,C9 Liniers,2.36,6.7,0.997,48,54.23,553.0
LSTM+aug,Train,0,9,C9 Liniers,106.52,120.65,-0.349,40,38.0,495.0
Persistencia,Train,0,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
Random Forest,Train,0,10,C10 Floresta,4.86,12.55,0.964,48,28.35,274.0
XGBoost,Train,0,10,C10 Floresta,1.32,3.54,0.997,48,28.35,274.0
LSTM+aug,Train,0,10,C10 Floresta,95.69,97.82,-1.37,40,25.02,274.0
Persistencia,Train,0,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
Random Forest,Train,0,11,C11 Villa del Parque,4.58,12.0,0.95,48,22.29,261.0
XGBoost,Train,0,11,C11 Villa del Parque,1.29,3.28,0.996,48,22.29,261.0
LSTM+aug,Train,0,11,C11 Villa del Parque,93.94,96.19,-2.138,40,20.0,261.0
Persistencia,Train,0,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
Random Forest,Train,0,12,C12 Coghlan,1.23,2.64,0.955,48,5.31,58.0
XGBoost,Train,0,12,C12 Coghlan,0.36,0.79,0.996,48,5.31,58.0
LSTM+aug,Train,0,12,C12 Coghlan,94.02,94.96,-49.753,40,5.38,58.0
Persistencia,Train,0,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
Random Forest,Train,0,13,C13 Belgrano,1.31,3.06,0.946,48,6.4,51.0
XGBoost,Train,0,13,C13 Belgrano,0.35,0.77,0.997,48,6.4,51.0
LSTM+aug,Train,0,13,C13 Belgrano,93.6,94.51,-50.828,40,5.8,51.0
Persistencia,Train,0,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
Random Forest,Train,0,14,C14 Palermo,2.41,6.45,0.961,48,13.83,142.0
XGBoost,Train,0,14,C14 Palermo,0.64,1.35,0.998,48,13.83,142.0
LSTM+aug,Train,0,14,C14 Palermo,89.58,92.84,-7.756,40,12.02,142.0
Persistencia,Train,0,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
Random Forest,Train,0,15,C15 Agronomía,1.72,4.2,0.958,48,9.33,84.0
XGBoost,Train,0,15,C15 Agronomía,0.55,1.31,0.996,48,9.33,84.0
LSTM+aug,Train,0,15,C15 Agronomía,90.72,93.04,-19.338,40,8.68,84.0
Persistencia,Train,1,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
XGBoost,Train,1,1,C1 Puerto Madero,10.02,30.89,0.966,48,72.35,649.0
LSTM+aug,Train,1,1,C1 Puerto Madero,64.33,158.97,-0.081,40,58.2,644.0
Persistencia,Train,1,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
XGBoost,Train,1,2,C2 Recoleta,0.41,1.03,0.976,48,3.0,26.0
LSTM+aug,Train,1,2,C2 Recoleta,13.36,13.68,-4.828,40,2.15,26.0
Persistencia,Train,1,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
XGBoost,Train,1,3,C3 Balvanera,0.52,1.06,0.989,48,4.69,42.0
LSTM+aug,Train,1,3,C3 Balvanera,13.71,14.17,-1.691,40,3.38,42.0
Persistencia,Train,1,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
XGBoost,Train,1,4,C4 La Boca,1.28,3.53,0.972,48,10.27,86.0
LSTM+aug,Train,1,4,C4 La Boca,17.22,21.14,-0.099,40,8.25,86.0
Persistencia,Train,1,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
XGBoost,Train,1,5,C5 Almagro,0.7,1.36,0.983,48,5.1,37.0
LSTM+aug,Train,1,5,C5 Almagro,13.58,13.96,-1.494,40,3.8,36.0
Persistencia,Train,1,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
XGBoost,Train,1,6,C6 Caballito,0.43,1.12,0.983,48,3.96,35.0
LSTM+aug,Train,1,6,C6 Caballito,13.09,13.49,-4.625,40,2.38,27.0
Persistencia,Train,1,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
XGBoost,Train,1,7,C7 Flores,1.5,3.39,0.992,48,17.42,140.0
LSTM+aug,Train,1,7,C7 Flores,22.1,34.2,-0.002,40,13.18,140.0
Persistencia,Train,1,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
XGBoost,Train,1,8,C8 Lugano,0.89,1.77,0.998,48,17.12,148.0
LSTM+aug,Train,1,8,C8 Lugano,20.19,29.63,-0.009,40,11.85,127.0
Persistencia,Train,1,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
XGBoost,Train,1,9,C9 Liniers,5.45,15.0,0.986,48,54.17,553.0
LSTM+aug,Train,1,9,C9 Liniers,34.42,74.63,-0.022,40,25.62,351.0
Persistencia,Train,1,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
XGBoost,Train,1,10,C10 Floresta,2.53,8.82,0.982,48,28.4,274.0
LSTM+aug,Train,1,10,C10 Floresta,26.67,49.67,-0.005,40,18.23,212.0
Persistencia,Train,1,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
XGBoost,Train,1,11,C11 Villa del Parque,2.67,10.19,0.964,48,22.29,261.0
LSTM+aug,Train,1,11,C11 Villa del Parque,22.57,38.26,-0.001,40,13.55,169.0
Persistencia,Train,1,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
XGBoost,Train,1,12,C12 Coghlan,0.7,1.5,0.985,48,5.38,58.0
LSTM+aug,Train,1,12,C12 Coghlan,14.36,15.49,-0.8,40,4.28,58.0
Persistencia,Train,1,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
XGBoost,Train,1,13,C13 Belgrano,1.02,2.3,0.97,48,6.42,51.0
LSTM+aug,Train,1,13,C13 Belgrano,14.03,14.88,-0.84,40,4.55,47.0
Persistencia,Train,1,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,1,14,C14 Palermo,1.75,4.78,0.979,48,13.83,142.0
LSTM+aug,Train,1,14,C14 Palermo,17.83,24.3,-0.068,40,8.48,101.0
Persistencia,Train,1,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,1,15,C15 Agronomía,1.47,4.08,0.96,48,9.44,84.0
LSTM+aug,Train,1,15,C15 Agronomía,16.0,18.51,-0.223,40,6.7,79.0
Persistencia,Train,2,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
XGBoost,Train,2,1,C1 Puerto Madero,3.62,13.8,0.993,48,72.96,649.0
LSTM+aug,Train,2,1,C1 Puerto Madero,60.7,121.01,-0.005,40,42.92,622.0
Persistencia,Train,2,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
XGBoost,Train,2,2,C2 Recoleta,0.13,0.25,0.999,48,3.04,26.0
LSTM+aug,Train,2,2,C2 Recoleta,32.99,33.33,-47.183,40,1.7,26.0
Persistencia,Train,2,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
XGBoost,Train,2,3,C3 Balvanera,0.48,1.08,0.988,48,4.83,42.0
LSTM+aug,Train,2,3,C3 Balvanera,32.03,32.7,-14.956,40,3.03,42.0
Persistencia,Train,2,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
XGBoost,Train,2,4,C4 La Boca,0.67,1.65,0.994,48,10.5,86.0
LSTM+aug,Train,2,4,C4 La Boca,32.28,33.24,-2.213,40,7.1,86.0
Persistencia,Train,2,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
XGBoost,Train,2,5,C5 Almagro,0.4,0.89,0.993,48,5.17,37.0
LSTM+aug,Train,2,5,C5 Almagro,31.75,32.51,-18.889,40,3.0,36.0
Persistencia,Train,2,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
XGBoost,Train,2,6,C6 Caballito,0.29,0.8,0.991,48,4.04,35.0
LSTM+aug,Train,2,6,C6 Caballito,32.89,33.14,-63.954,40,1.8,19.0
Persistencia,Train,2,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
XGBoost,Train,2,7,C7 Flores,0.68,2.15,0.997,48,17.42,140.0
LSTM+aug,Train,2,7,C7 Flores,35.27,37.85,-0.738,40,10.02,140.0
Persistencia,Train,2,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
XGBoost,Train,2,8,C8 Lugano,0.81,1.78,0.998,48,17.31,148.0
LSTM+aug,Train,2,8,C8 Lugano,33.77,35.79,-0.992,40,9.43,127.0
Persistencia,Train,2,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
XGBoost,Train,2,9,C9 Liniers,2.44,5.81,0.998,48,54.12,553.0
LSTM+aug,Train,2,9,C9 Liniers,41.37,55.3,-0.116,40,16.88,274.0
Persistencia,Train,2,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
XGBoost,Train,2,10,C10 Floresta,0.86,2.63,0.998,48,28.4,274.0
LSTM+aug,Train,2,10,C10 Floresta,37.47,45.41,-0.288,40,13.23,212.0
Persistencia,Train,2,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
XGBoost,Train,2,11,C11 Villa del Parque,0.84,1.86,0.999,48,22.33,261.0
LSTM+aug,Train,2,11,C11 Villa del Parque,34.83,38.52,-0.757,40,9.4,159.0
Persistencia,Train,2,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
XGBoost,Train,2,12,C12 Coghlan,0.33,0.83,0.996,48,5.42,58.0
LSTM+aug,Train,2,12,C12 Coghlan,32.4,32.89,-9.218,40,3.45,58.0
Persistencia,Train,2,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
XGBoost,Train,2,13,C13 Belgrano,0.57,1.37,0.989,48,6.54,51.0
LSTM+aug,Train,2,13,C13 Belgrano,31.64,32.37,-11.134,40,3.67,47.0
Persistencia,Train,2,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,2,14,C14 Palermo,0.93,3.01,0.992,48,13.94,142.0
LSTM+aug,Train,2,14,C14 Palermo,33.34,33.94,-2.455,40,6.07,93.0
Persistencia,Train,2,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,2,15,C15 Agronomía,0.52,1.29,0.996,48,9.58,84.0
LSTM+aug,Train,2,15,C15 Agronomía,32.07,32.89,-3.325,40,5.85,79.0
Persistencia,Train,3,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
XGBoost,Train,3,1,C1 Puerto Madero,16.91,53.32,0.898,48,73.71,649.0
LSTM+aug,Train,3,1,C1 Puerto Madero,28.4,82.39,-0.135,40,28.4,425.0
Persistencia,Train,3,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
XGBoost,Train,3,2,C2 Recoleta,0.63,1.25,0.964,48,3.04,26.0
LSTM+aug,Train,3,2,C2 Recoleta,1.05,3.01,-0.139,40,1.05,15.0
Persistencia,Train,3,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
XGBoost,Train,3,3,C3 Balvanera,1.13,2.26,0.949,48,4.94,42.0
LSTM+aug,Train,3,3,C3 Balvanera,2.12,5.74,-0.159,40,2.12,29.0
Persistencia,Train,3,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
XGBoost,Train,3,4,C4 La Boca,2.18,5.49,0.932,48,10.67,86.0
LSTM+aug,Train,3,4,C4 La Boca,5.5,16.32,-0.128,40,5.5,86.0
Persistencia,Train,3,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
XGBoost,Train,3,5,C5 Almagro,0.94,1.82,0.969,48,5.23,37.0
LSTM+aug,Train,3,5,C5 Almagro,2.17,5.47,-0.187,40,2.17,25.0
Persistencia,Train,3,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
XGBoost,Train,3,6,C6 Caballito,1.57,3.98,0.779,48,4.06,35.0
LSTM+aug,Train,3,6,C6 Caballito,1.35,3.34,-0.195,40,1.35,15.0
Persistencia,Train,3,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
XGBoost,Train,3,7,C7 Flores,3.44,8.66,0.947,48,17.42,140.0
LSTM+aug,Train,3,7,C7 Flores,6.6,20.86,-0.111,40,6.6,106.0
Persistencia,Train,3,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
XGBoost,Train,3,8,C8 Lugano,2.33,5.7,0.975,48,17.4,148.0
LSTM+aug,Train,3,8,C8 Lugano,6.45,18.17,-0.144,40,6.45,89.0
Persistencia,Train,3,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
XGBoost,Train,3,9,C9 Liniers,13.41,36.3,0.917,48,53.94,553.0
LSTM+aug,Train,3,9,C9 Liniers,10.1,33.89,-0.097,40,10.1,180.0
Persistencia,Train,3,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
XGBoost,Train,3,10,C10 Floresta,7.49,23.15,0.878,48,28.4,274.0
LSTM+aug,Train,3,10,C10 Floresta,7.93,25.55,-0.106,40,7.93,137.0
Persistencia,Train,3,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
XGBoost,Train,3,11,C11 Villa del Parque,3.3,10.78,0.96,48,22.38,261.0
LSTM+aug,Train,3,11,C11 Villa del Parque,5.6,17.37,-0.116,40,5.6,91.0
Persistencia,Train,3,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
XGBoost,Train,3,12,C12 Coghlan,1.52,4.06,0.893,48,5.54,58.0
LSTM+aug,Train,3,12,C12 Coghlan,2.15,5.88,-0.154,40,2.15,29.0
Persistencia,Train,3,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
XGBoost,Train,3,13,C13 Belgrano,1.76,4.17,0.899,48,6.65,51.0
LSTM+aug,Train,3,13,C13 Belgrano,2.62,6.73,-0.18,40,2.62,35.0
Persistencia,Train,3,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,3,14,C14 Palermo,3.97,10.66,0.894,48,14.02,142.0
LSTM+aug,Train,3,14,C14 Palermo,3.85,12.43,-0.106,40,3.85,71.0
Persistencia,Train,3,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,3,15,C15 Agronomía,2.42,6.19,0.907,48,9.75,84.0
LSTM+aug,Train,3,15,C15 Agronomía,4.07,11.4,-0.147,40,4.07,55.0
Persistencia,Train,4,1,C1 Puerto Madero,25.76,71.34,0.809,51,68.14,649.0
XGBoost,Train,4,1,C1 Puerto Madero,6.28,17.55,0.989,48,74.88,649.0
LSTM+aug,Train,4,1,C1 Puerto Madero,19.2,48.3,-0.168,40,19.35,205.0
Persistencia,Train,4,2,C2 Recoleta,1.39,3.18,0.755,51,2.78,26.0
XGBoost,Train,4,2,C2 Recoleta,0.33,0.82,0.985,48,3.04,26.0
LSTM+aug,Train,4,2,C2 Recoleta,1.22,1.75,-0.036,40,0.7,9.0
Persistencia,Train,4,3,C3 Balvanera,2.53,5.76,0.657,51,4.35,42.0
XGBoost,Train,4,3,C3 Balvanera,0.7,1.39,0.981,48,4.96,42.0
LSTM+aug,Train,4,3,C3 Balvanera,1.86,3.18,-0.018,40,1.45,16.0
Persistencia,Train,4,4,C4 La Boca,4.18,9.93,0.768,51,9.61,86.0
XGBoost,Train,4,4,C4 La Boca,1.41,3.97,0.964,48,10.92,86.0
LSTM+aug,Train,4,4,C4 La Boca,3.96,8.93,-0.099,40,3.7,40.0
Persistencia,Train,4,5,C5 Almagro,2.24,4.82,0.772,51,4.73,37.0
XGBoost,Train,4,5,C5 Almagro,0.73,1.44,0.98,48,5.25,37.0
LSTM+aug,Train,4,5,C5 Almagro,1.83,3.49,-0.025,40,1.58,18.0
Persistencia,Train,4,6,C6 Caballito,1.63,3.74,0.797,51,3.69,35.0
XGBoost,Train,4,6,C6 Caballito,0.66,1.85,0.952,48,4.1,35.0
LSTM+aug,Train,4,6,C6 Caballito,1.39,2.14,0.0,40,1.02,10.0
Persistencia,Train,4,7,C7 Flores,5.96,14.29,0.85,51,16.47,140.0
XGBoost,Train,4,7,C7 Flores,1.56,3.84,0.99,48,17.42,140.0
LSTM+aug,Train,4,7,C7 Flores,4.49,12.15,-0.067,40,4.07,55.0
Persistencia,Train,4,8,C8 Lugano,7.08,15.03,0.82,51,16.04,148.0
XGBoost,Train,4,8,C8 Lugano,1.05,2.17,0.996,48,17.58,148.0
LSTM+aug,Train,4,8,C8 Lugano,4.74,11.25,-0.104,40,4.47,50.0
Persistencia,Train,4,9,C9 Liniers,22.02,54.96,0.8,51,51.06,553.0
XGBoost,Train,4,9,C9 Liniers,7.48,20.71,0.973,48,53.56,553.0
LSTM+aug,Train,4,9,C9 Liniers,6.16,18.13,-0.071,40,5.7,81.0
Persistencia,Train,4,10,C10 Floresta,11.47,30.03,0.785,51,26.69,274.0
XGBoost,Train,4,10,C10 Floresta,4.95,16.14,0.941,48,28.4,274.0
LSTM+aug,Train,4,10,C10 Floresta,4.96,13.25,-0.076,40,4.55,56.0
Persistencia,Train,4,11,C11 Villa del Parque,10.43,27.33,0.729,51,21.0,261.0
XGBoost,Train,4,11,C11 Villa del Parque,1.64,4.77,0.992,48,22.44,261.0
LSTM+aug,Train,4,11,C11 Villa del Parque,3.96,9.51,-0.076,40,3.55,45.0
Persistencia,Train,4,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
XGBoost,Train,4,12,C12 Coghlan,1.15,3.02,0.941,48,5.58,58.0
LSTM+aug,Train,4,12,C12 Coghlan,1.89,3.41,-0.018,40,1.48,15.0
Persistencia,Train,4,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
XGBoost,Train,4,13,C13 Belgrano,1.16,2.79,0.955,48,6.69,51.0
LSTM+aug,Train,4,13,C13 Belgrano,1.96,3.48,-0.052,40,1.8,15.0
Persistencia,Train,4,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,4,14,C14 Palermo,2.89,8.83,0.927,48,14.02,142.0
LSTM+aug,Train,4,14,C14 Palermo,2.56,5.04,-0.053,40,2.15,24.0
Persistencia,Train,4,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,4,15,C15 Agronomía,1.15,2.6,0.983,48,9.94,84.0
LSTM+aug,Train,4,15,C15 Agronomía,3.41,7.26,-0.08,40,3.0,34.0
Persistencia,Validation,0,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
Random Forest,Validation,0,1,C1 Puerto Madero,242.78,393.08,0.334,26,435.5,1391.0
XGBoost,Validation,0,1,C1 Puerto Madero,243.4,410.95,0.272,26,435.5,1391.0
LSTM+aug,Validation,0,1,C1 Puerto Madero,357.71,541.43,-0.332,14,369.71,1391.0
